,AFG,,,ALB,DZA,AGO,,ARG,ARM,,,AUS,AUT,AZE,BHS,BHR,BGD,BRB,BLR,BEL,BLZ,BEN,BMU,BOL,BIH,,BRA,BGR,BFA,BDI,,KHM,CMR,CAN,,CAF,TCD,CHL,CHN,,,,COL,COG,CRI,,HRV,CUB,CYP,CZE,,COD,DNK,DJI,DOM,,ECU,,EGY,SLV,GNQ,EST,ETH,,,,FJI,FIN,,,,,,,,,,,GAB,GMB,GEO,DEU,GHA,GIB,GRC,GRL,GLP,GTM,GIN,GNB,GUY,HTI,HND,HUN,ISL,IND,IDN,,IRN,IRQ,IRL,ISR,ITA,JAM,JPN,JOR,KAZ,KEN,KIR,PRK,KOR,KWT,KGZ,,LAO,LVA,LBN,LBR,LBY,LTU,MDG,MWI,MYS,MLI,MLT,MRT,MUS,MEX,MNG,MAR,MOZ,MMR,NPL,,NLD,,,NZL,NIC,NER,NGA,NOR,,OMN,,PAK,PAN,PNG,PRY,PER,PHL,POL,PRT,QAT,MDA,ROU,RUS,RWA,WSM,SAU,SEN,SYC,SLE,SGP,SVK,SVN,SOM,ZAF,ESP,LKA,SHN,,,SDN,SUR,SWE,CHE,SYR,,TJK,TZA,MKD,THA,TGO,TTO,TUN,TUR,TKM,UGA,GBR,UKR,ARE,URY,,USA,UZB,VEN,VNM,,YEM,,ZMB,ZWE
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COL,NA,NA,NA,NA,NA,NA,284711,189319,NA,NA,NA,26118,41460,NA,NA,NA,NA,NA,NA,321077,NA,NA,316,239023,NA,NA,939141,2507,NA,NA,NA,NA,NA,509484,NA,NA,NA,452777,380284,49867,NA,NA,NA,1881,127267,322,NA,47262,NA,33126,NA,NA,48994,NA,98791,NA,797341,NA,2043,21332,NA,2908,NA,NA,NA,NA,489,122147,NA,NA,NA,NA,NA,NA,NA,NA,NA,560928,NA,NA,NA,979569,NA,NA,10048,NA,NA,71176,NA,NA,2140,NA,36152,11295,500,NA,40149,NA,710,NA,54096,105166,543569,23258,787241,NA,225,NA,NA,NA,272019,NA,NA,NA,NA,NA,NA,NA,2905,978,NA,NA,34323,NA,NA,NA,NA,833391,NA,8316,NA,NA,NA,77304,270508,NA,NA,5916,NA,NA,NA,55526,NA,NA,NA,NA,213959,NA,4314,535021,6966,37457,97455,NA,NA,23629,104339,NA,NA,8299,NA,NA,NA,43468,9004,8539,NA,29388,424442,18058,NA,3721,NA,NA,NA,136906,207302,7372,165251,NA,NA,NA,35950,NA,219059,NA,9256,NA,1597,543212,24049,NA,19324,NA,11259196,NA,NA,NA,NA,NA,NA,NA,NA
COG,NA,NA,NA,NA,NA,NA,NA,14658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66320,NA,NA,NA,NA,NA,NA,80757,NA,NA,NA,NA,NA,NA,3373,NA,NA,NA,NA,338775,NA,NA,NA,1881,NA,NA,NA,NA,NA,NA,1192,NA,NA,983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233591,NA,NA,NA,91613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5052,NA,117078,NA,25372,NA,NA,NA,NA,NA,547000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14362,NA,NA,NA,NA,33921,NA,NA,NA,NA,NA,3070,10685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10578,NA,NA,NA,21356,50801,NA,NA,NA,NA,NA,NA,NA,2603,NA,NA,NA,NA,NA,69992,NA,NA,1236,3358,NA,NA,31518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CRI,NA,NA,NA,NA,NA,NA,NA,32385,NA,NA,NA,15065,26010,NA,NA,NA,NA,NA,NA,210480,NA,NA,NA,NA,NA,NA,145262,NA,NA,NA,NA,NA,NA,177949,NA,NA,NA,49757,71059,24320,NA,NA,127267,NA,NA,NA,NA,NA,NA,6254,NA,NA,9083,NA,NA,NA,17827,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42806,NA,NA,NA,NA,NA,NA,NA,NA,NA,179821,NA,NA,NA,354457,NA,NA,2802,NA,NA,NA,NA,NA,NA,NA,NA,3510,NA,NA,7490,NA,NA,NA,83906,14949,150567,NA,417859,NA,NA,NA,NA,NA,180686,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135862,NA,NA,NA,NA,475791,NA,7239,NA,NA,NA,NA,240472,NA,NA,625,NA,NA,NA,25493,NA,NA,NA,NA,NA,NA,NA,13360,34699,20671,31006,NA,NA,1205,13474,NA,NA,NA,NA,NA,NA,30645,3895,1278,NA,3000,189151,NA,NA,NA,NA,NA,NA,58233,58265,NA,NA,NA,NA,NA,12755,NA,NA,NA,7494,NA,NA,869870,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,50980,NA,NA,NA,6188,22121,NA,NA,NA,NA,NA,NA,301220,NA,NA,NA,NA,NA,NA,89456,1596,NA,NA,NA,NA,NA,55619,NA,NA,NA,NA,226475,655,NA,NA,322,NA,NA,NA,NA,NA,NA,18764,NA,NA,10725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10656,NA,NA,NA,NA,NA,NA,NA,NA,NA,1438475,NA,NA,NA,356043,NA,NA,42153,NA,NA,NA,NA,NA,NA,NA,NA,5201,NA,NA,37535,NA,NA,NA,17584,9237,300800,NA,42244,NA,1385,NA,NA,NA,20240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19822,NA,NA,NA,NA,NA,NA,30596,NA,NA,NA,NA,356027,NA,NA,NA,NA,NA,1240194,2530,NA,NA,NA,1960,NA,NA,NA,NA,2856,54212,27232,NA,NA,7434,90916,NA,NA,NA,NA,NA,NA,11493,NA,1530,NA,43728,244420,NA,NA,NA,NA,NA,NA,7830,26584,NA,NA,NA,NA,NA,46123,NA,NA,22842,12006,NA,NA,186897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HRV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6989,713546,NA,NA,NA,NA,NA,NA,176155,NA,NA,NA,NA,NA,NA,129810,6936,NA,NA,NA,NA,NA,39128,NA,NA,NA,NA,81313,3156,NA,NA,NA,NA,NA,NA,NA,NA,NA,182386,NA,NA,46491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28556,NA,NA,NA,NA,NA,NA,NA,NA,NA,430864,NA,NA,NA,1807641,NA,NA,44500,NA,NA,NA,NA,NA,NA,NA,NA,219765,NA,NA,3799,NA,NA,NA,64088,12014,2034594,NA,31775,NA,1365,NA,NA,NA,33333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1591,NA,NA,NA,NA,NA,NA,12033,NA,NA,NA,NA,191720,NA,NA,NA,NA,NA,NA,103328,NA,NA,NA,953,NA,NA,NA,NA,NA,92273,7892,NA,NA,21069,332251,NA,NA,NA,NA,NA,NA,25852,77584,1121132,NA,4054,119676,NA,NA,NA,NA,NA,NA,133044,115446,NA,NA,NA,NA,NA,2193,NA,NA,3662,44048,NA,NA,154180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CUB,NA,NA,NA,NA,NA,NA,NA,53403,NA,NA,NA,4530,4070,NA,NA,NA,NA,NA,NA,34267,NA,NA,NA,NA,NA,NA,113110,2299,NA,NA,NA,NA,NA,488536,NA,NA,NA,34834,308986,5840,NA,NA,47262,NA,NA,NA,NA,NA,NA,4808,NA,NA,8796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8841,NA,NA,NA,NA,NA,NA,NA,NA,NA,289463,NA,NA,NA,103056,NA,NA,762,NA,NA,NA,NA,NA,NA,NA,NA,500,NA,NA,NA,NA,NA,NA,2376,NA,267015,NA,59816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91113,NA,NA,8080,NA,NA,NA,1751,NA,NA,NA,NA,NA,NA,NA,2107,448,NA,22259,NA,NA,20012,382083,NA,NA,NA,NA,NA,NA,3606,4961,NA,NA,946,690693,NA,NA,NA,NA,NA,NA,15256,19979,NA,NA,NA,NA,NA,4494,NA,NA,20720,NA,NA,NA,37232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CYP,NA,NA,NA,NA,15631,NA,NA,NA,NA,NA,NA,8248,33255,NA,NA,NA,NA,NA,NA,113355,NA,NA,NA,NA,NA,NA,4719,15586,NA,NA,NA,NA,NA,8441,NA,NA,NA,NA,146614,10000,NA,NA,NA,NA,NA,NA,NA,NA,NA,12736,NA,NA,37220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14793,NA,NA,NA,NA,NA,NA,NA,NA,NA,229599,NA,NA,NA,483544,NA,NA,578748,NA,NA,NA,NA,NA,NA,NA,NA,8092,NA,NA,NA,NA,9331,NA,42086,186706,393932,NA,269281,NA,3370,NA,NA,NA,170345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12458,NA,NA,NA,NA,5154,NA,12578,NA,NA,NA,NA,103939,NA,NA,NA,NA,NA,NA,59324,NA,3383,NA,6713,NA,NA,NA,NA,387,42085,14605,NA,NA,20588,857782,NA,NA,NA,NA,NA,NA,173761,5741,3112,NA,2828,161881,NA,NA,NA,NA,NA,NA,88641,44662,NA,NA,NA,NA,NA,59245,NA,NA,2415,246478,NA,NA,762422,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CZE,959,NA,NA,13797,131438,NA,NA,22315,NA,NA,NA,92866,3180442,16767,591,NA,12125,1705,123807,1372438,NA,2724,NA,642,49750,NA,147597,136677,NA,385,NA,NA,2564,194848,NA,1964,4272,8156,775565,132100,1430,NA,33126,1192,6254,18764,182386,4808,12736,NA,NA,NA,334923,NA,13001,NA,13834,NA,57990,66872,NA,67286,1584,NA,NA,NA,NA,487232,NA,NA,NA,NA,NA,NA,NA,NA,NA,2809748,NA,NA,4817,22346080,3248,1319,181258,NA,NA,2239,276,NA,NA,NA,3975,1152149,5957,NA,69828,NA,44119,7097,323801,106334,2718695,NA,768697,NA,153273,2308,NA,NA,256904,NA,4357,NA,751,47268,NA,1050,2792,117808,2010,NA,181592,3949,5067,NA,NA,56403,3040,20106,NA,671,1629,NA,1363526,NA,NA,7663,NA,NA,5973,425503,NA,NA,NA,16456,9709,NA,NA,11736,27648,2697037,174406,NA,9177,225940,2511586,NA,NA,36981,NA,NA,394,176506,3807149,421698,NA,NA,1074726,28882,NA,NA,NA,5563,NA,886180,872813,19763,328060,10265,359,11645,104856,NA,NA,15185,263001,21229,2724,2579807,370102,135402,3405,NA,2536281,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COD,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,912538,NA,NA,NA,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35034,NA,27839,NA,NA,NA,NA,NA,684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50848,NA,NA,NA,NA,NA,NA,741,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1294,NA,NA,NA,NA,NA,NA,4660,NA,NA,NA,118194,10585,NA,NA,NA,NA,NA,NA,NA,9403,NA,NA,NA,NA,NA,NA,NA,NA,NA,977,NA,NA,5003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DNK,1559,NA,NA,5054,42593,NA,NA,320825,NA,843,NA,386680,850259,NA,6950,31715,90471,3386,55378,2341489,NA,NA,4264,2251,21860,NA,329343,71807,NA,2278,NA,NA,2927,700472,NA,NA,NA,127334,1861932,649972,27430,NA,48994,983,9083,10725,46491,8796,37220,334923,NA,NA,290894,NA,54103,NA,8659,NA,152595,5764,NA,258017,9514,NA,NA,NA,NA,2477527,NA,NA,NA,NA,NA,NA,NA,NA,NA,4585555,432,NA,5544,17314077,15080,662,373920,495306,NA,10288,NA,2622,NA,NA,6996,247171,370536,NA,228040,NA,65045,NA,1226739,229514,3558703,26699,2811073,NA,NA,12835,NA,4984,836426,76594,NA,NA,1437,224203,26814,3220,NA,405230,5208,9789,236887,NA,19934,NA,6866,197755,NA,55085,NA,15667,2397,NA,4964412,NA,NA,106270,2842,NA,64289,4462683,NA,25174,NA,54697,48098,2324,1475,31857,79795,1509231,594515,NA,NA,76154,868340,2346,NA,225857,1766,3047,NA,322513,104247,115541,NA,163423,1617107,21870,NA,33268,NA,NA,NA,10565340,1200806,15149,645192,NA,10692,11544,344870,912,1794,19046,423482,NA,11493,7812150,84689,197014,9507,NA,4932073,NA,NA,NA,NA,NA,NA,NA,NA
DJI,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43216,NA,NA,NA,6491,NA,NA,1128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9236,32237,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DOM,NA,NA,NA,NA,NA,NA,NA,54840,NA,NA,NA,11786,6031,NA,NA,NA,NA,NA,NA,52765,NA,NA,NA,NA,NA,NA,128262,NA,NA,NA,NA,NA,NA,114081,NA,NA,NA,26609,72256,3357,NA,NA,98791,NA,NA,NA,NA,NA,NA,13001,NA,NA,54103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65105,NA,NA,NA,NA,NA,NA,NA,NA,NA,156391,NA,NA,NA,161358,NA,NA,993,NA,NA,NA,NA,NA,NA,NA,NA,1193,NA,NA,NA,NA,NA,NA,10168,NA,136076,NA,407264,NA,NA,NA,NA,NA,197040,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,548458,NA,1996,NA,NA,NA,NA,186679,NA,NA,12624,NA,NA,NA,22024,NA,NA,NA,NA,NA,NA,NA,12088,NA,3161,8002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8982,NA,NA,NA,1776,391900,NA,NA,NA,NA,NA,NA,25897,16881,NA,NA,NA,NA,NA,38225,NA,NA,NA,NA,NA,NA,110654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ECU,NA,NA,NA,NA,NA,NA,136264,155520,NA,NA,NA,5736,37032,NA,NA,NA,NA,NA,NA,148226,NA,NA,NA,10425,NA,NA,150667,2833,NA,NA,NA,NA,NA,144315,NA,NA,NA,447832,150757,17344,NA,NA,797341,NA,17827,NA,NA,NA,NA,13834,NA,NA,8659,NA,NA,NA,NA,NA,NA,114164,NA,NA,NA,NA,NA,NA,NA,5793,NA,NA,NA,NA,NA,NA,NA,NA,NA,93719,NA,NA,NA,357969,NA,NA,6488,NA,NA,20145,NA,NA,NA,NA,3790,4959,NA,NA,13779,NA,NA,NA,1187,14318,230166,800,376978,NA,1578,NA,NA,NA,374788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3283,NA,NA,NA,NA,191108,NA,NA,NA,NA,NA,18780,107491,NA,NA,26162,NA,NA,NA,2438,NA,NA,NA,NA,386636,NA,2402,394102,NA,89553,15625,NA,NA,18354,192255,NA,NA,NA,NA,NA,NA,3843,6904,5765,NA,2844,149842,2157,NA,NA,NA,NA,NA,6850,45891,1699,53106,NA,NA,NA,6924,NA,16093,NA,46760,NA,NA,79860,29302,1538,26135,NA,3336551,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EGY,NA,NA,NA,NA,41125,NA,NA,356210,NA,NA,NA,180560,113919,NA,NA,NA,NA,NA,NA,422233,NA,NA,NA,NA,NA,NA,275106,32286,NA,NA,NA,NA,NA,132934,NA,NA,NA,12142,902466,39238,NA,NA,2043,NA,NA,NA,NA,NA,NA,57990,NA,NA,152595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185264,NA,NA,NA,NA,NA,NA,NA,NA,NA,1436256,NA,NA,NA,1617758,NA,NA,245728,NA,NA,NA,NA,NA,NA,NA,NA,30731,NA,NA,208383,NA,27385,NA,232899,672185,2437873,NA,883548,NA,8004,NA,NA,NA,648438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236538,NA,NA,NA,NA,11113,NA,53148,NA,NA,NA,NA,515115,NA,NA,62029,NA,NA,NA,35285,NA,19506,NA,69615,NA,NA,NA,NA,5920,85803,158555,NA,NA,179625,433856,NA,NA,NA,NA,NA,NA,285835,30611,26551,NA,23418,611085,NA,NA,NA,NA,NA,NA,424681,325608,NA,NA,NA,NA,NA,147987,NA,NA,71770,504084,NA,NA,1303208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SLV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3748,8354,NA,NA,NA,NA,NA,NA,20042,NA,NA,NA,NA,NA,NA,37862,NA,NA,NA,NA,NA,NA,118525,NA,NA,NA,14678,58693,3880,NA,NA,21332,NA,NA,NA,NA,NA,NA,66872,NA,NA,5764,NA,NA,NA,114164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62447,NA,NA,NA,NA,NA,NA,NA,NA,NA,247513,NA,NA,NA,223527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10597,NA,41128,NA,105557,NA,NA,NA,NA,NA,86043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5536,NA,NA,NA,NA,263468,NA,18343,NA,NA,NA,NA,13114,NA,NA,NA,NA,NA,NA,1831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5916,NA,NA,NA,37617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59613,NA,NA,NA,NA,NA,NA,NA,18166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GNQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,321851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32898,NA,NA,NA,4289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8833,NA,53580,NA,NA,NA,NA,NA,3652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2845,NA,NA,NA,NA,9609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7810,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,681997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,812,NA,NA,41188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EST,NA,NA,NA,NA,NA,NA,NA,802,NA,NA,NA,NA,44247,NA,NA,NA,NA,NA,NA,124315,NA,NA,NA,NA,NA,NA,10233,NA,NA,NA,NA,NA,NA,61208,NA,NA,NA,NA,64242,2667,NA,NA,2908,NA,NA,NA,NA,NA,NA,67286,NA,NA,258017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2318060,NA,NA,NA,NA,NA,NA,NA,NA,NA,154064,NA,NA,NA,698496,NA,NA,3366,NA,NA,NA,NA,NA,NA,NA,NA,33216,NA,NA,1110,NA,NA,NA,36141,3223,138872,NA,85549,NA,11758,NA,NA,NA,35560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3339,NA,NA,NA,NA,4651,NA,NA,NA,NA,NA,NA,375826,NA,NA,NA,NA,NA,NA,133919,NA,NA,NA,NA,NA,NA,NA,NA,NA,109251,14060,NA,NA,5641,977744,NA,NA,NA,NA,NA,NA,34578,6408,3965,NA,5526,185060,NA,NA,NA,NA,NA,NA,969464,37500,NA,NA,NA,NA,NA,5689,NA,NA,NA,14082,NA,NA,570631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
